comment,rating
" 为什么大家都觉得不好看，我一直觉得很开心哇哇哇
        ",5
" 穷途末路的失败美国电影市场经典范本。为了捞金而捞金，多次利用剥削导致作品剧情枯竭灵感丢失，剥夺了应该终结的权利，没什么可以再写的了 。一部部应该完结的好片子就是这样走向烂尾的。
        ",2
" 羊驼已经成为瑜伽、灵修的代表动物
        ",None
" 把一个大热系列做到这种穷途末路，见者伤心。用已经到嫁女儿年纪的猛玛象为主角，讲的却是一个低幼的故事，也不知道目标定位市场是谁。
        ",2
" 你的3D的毛做的越来越好，好到每一只我都想摸摸
        ",4
" 消费到一丁点不剩
        ",2
" 啊我又跟大多数人不一样了。上集看得全程尴尬，但真心觉得这集蛮惊喜啊，很有想象力，难道是因为预期太低？松鼠追坚果追出宇宙大爆炸影厅爆笑，黄鼠狼上天入地歌舞段落视觉劲爽，还致敬了几个经典电影、宗教、美术桥段。近期大家都在讨论转3D坑爹，要是都能像冰川的3D这样舒服，那也不错呢
        ",4
" 并不是很理解为什么豆瓣评分不高，没看过前几部，感觉电影温情而又搞笑，同时带有美国特色的脑洞，谁知道宇宙的最初是怎么样的，大爆炸只不过是科学的解释，也许一切都是偶然，我们既被宇宙改变着，同时也可以改变宇宙。
        ",5
" #冰川时代#都第五集了啊，怎么还感觉处在第一集的时候，明显感觉已经黔驴技穷了啊，故事依旧那样合家欢大家乐，搞笑也是一些老梗儿，人物没有啥大变化，看的都要睡觉了这部，今后只求#蓝天工作室#赶紧完结这系列好了!
        ",3
" 完全不好笑 看着想睡觉
        ",2
" 系列最難看沒有之一。松鼠是唯一的亮點。
        ",2
" 哎，这冷饭炒的。
        ",2
" 同上部一样，开头就让松鼠开脑洞。但随着家族越来越庞大及老龄化，兄弟间的冒险变少，美国寻常家庭喜剧的代际矛盾增多。这些占据很多戏份的“常规”亲情，不一定很受用。疲态是必然的，笑不动的套路也是有的，但幸好树懒奶奶、负鼠兄弟等人精仍在。底子在，老气也在，也许要跟这些老伙计道别了。三星半
        ",3
" 比想像中還要搞笑啊。評分就是這樣，有客觀有主觀，那天我就是被逗的特別厲害，一點都不想一幅我知道下一步會怎樣就不笑，而是抓住一些機會，你敢抖包袱我就敢笑，生活已經辣麼艱辛，來到電影院有人陪你看，你還不趕緊釋放一下。@皇室堡
        ",4
" 情节老套缺乏新意 人物不讨喜
        ",2
" Blimey，松鼠君和他的Acorn又闖禍了！好在這是最後一次啦！Simon的神叨叨Buck回歸了！Peaches嫁了。Sid終於與True Love廝守。Granny返老還童好Sexy！沒有學生一起笑看吐槽好寂寞。打低分的IQ和笑點都好高，我真羨慕你們額。
        ",4
" 如果我说冰川没有之前好看了会不会有人出来按死我😂😂
        ",3
" 没有前面几部好看了。虽然看得很开心，但故事情节也就这样了。画面不错，但是3d的效果并不是特别好，这片子不做成3d也可以的。
        ",3
" 全程既搞笑，又温情，笑完之后还有意犹未尽，若有所思，关于爱情，关于亲人，也关于梦想和现实。
        ",4
" 还ok，典型的美国动画片，不过这个系列差不多可以停了，有点腻了
        ",4
" 有没有想看的我真有资源，，
        ",5
" 之前几部没有看过，我和朋友两人都睡着💤了
        ",3
" 就是喜欢那个松鼠。
        ",5
" 或许期待值太高了 有点失望 故事老套 画面一如既往的精彩也弥补不了我想走神打瞌睡的欲望
        ",3
" 还好吧 感觉已经演不出什么了 所以完结了？
        ",3
" 睡着了
        ",3
" 星际碰撞与桃子叛逆两条线交叉，桃子叛逆这个剧情有点硬，整体还是不错
        ",4
" 国语版意外的好笑，沈腾的配音贱的深入骨髓！笑点紧凑，比想象中好
                
                ",4
" 带着小孩看电影，没啥感觉
                
                ",1
" 冰川系列的所有都看完了，越来越懵逼，越来越失望。感觉有太多无厘头。😂
        ",3
" 超级好看。
        ",5
" 毫无诚意啊，笑点像挤出来的一样。圈钱？还是蓝天想不到好故事，只能借冰河世纪的名字爽一把
        ",2
" 旁边人看睡着了

                
                ",2
" 其实还好吧也没有热评里面说的那么差劲（可能因为我看的电影比较少）但是也绝对没有值票价噢。一般般吧，反正绝对不会在我推荐的电影之列或者黑名单里面的。🙃🙃不好意思我就是这么没品又平庸。
        ",2
" 搞笑.,简单，快乐，足矣～～
                
                ",5
" 总体来说一般，比疯狂动物城差了一个档次
        ",3
" 翁婿关系是主线，美国西部中年和黑人嘻哈少年的既视感。最后以协力拯救世界为由和解。副线是爱情
        ",2
" 最差的一部，但还是很不错
        ",3
" 我给四颗星 因为只有疯狂动物城才有五颗星
        ",4
