comment,rating
" 张家辉现在真全身都是戏，只要有他的画面，眼睛根本顾及不到别人，哪怕眼角的一条鱼尾纹都性感有戏，感觉像精心练过的。走路、站姿、含烟、眼神、身姿、打戏，他一定在家用心编织过，动作潇洒从容，每一场戏都行云流水、干净利落，让人跪服。除了他，此片可以说一无是处（围笑脸）。
        ",2
" 整个戏只有家辉哥的鱼尾纹和佘小姐的双下巴看上去是真实可信的。
        ",2
" 没有爆seed和卓sir，使徒本来就差不少味道，剧版改编影版也只比《冲上云霄》好而已。比较感慨的是演技，古天乐这些年套路模板化的表演也是够乏味了，暑期档《三人行》《使徒行者》《危城》都被同框男演员碾压了。
        ",2
" 虽然阵容不错，但还是觉得比电视剧差太多。
        ",3
" 不错的啊，为毛评分辣麽低
        ",3
" 看几个帅大叔耍帅~~~分场景看的话还是很精彩的！ 总体剧情的话就。。啧啧啧了。。。多加一星给电影院和老戏骨们
        ",4
" 双卧底已经够考验思维逻辑的，这里面有四个卧底！有点无间道的意味，不过拍摄成多集，似乎能更好的把故事讲清楚；一集的话里面许多铺垫做的不够，细节不突出也太直白的把线索都提供出来了。整体还可以，比一半稍微强那么一点。
        ",4
" laop老婆要看
        ",3
" 一般 烂尾
        ",3
" 张家辉选片请慎重
        ",2
" 异性恋都得死，所以编剧安排了吴镇宇立刻去世，只有张家辉古天乐的基情永存.....
        ",2
" 有型无神，厌烦的老梗，希望以后的香港电影多点真诚少点套路吧……
        ",2
" HK警匪片的固有元素不缺，不过那股劲味儿是怎么也找不回来了。还有，黑古接二连三出演警察，没有突破还怎么展望影帝啊！！急。
        ",2
" 剧情一般般，演技一般般，演员太老，都是套路
        ",1
" 没有林峰的使徒行者总归味道不对。
                
                ",2
" 电视剧改编电影其实都不讨巧，这片也没能例外。用电视剧的节奏来拍电影，前半段尤为松散。
        ",2
" 最爱的钉姐仍有好玩的市井味，却少了市井背景去发挥，亏得笑料担当，且开枪狂赞。古等张出来时眼神极考究。张吴许发挥没差。故事反转不错，但硬凹造型偶现割裂，不过张古一同起身那刻帅出经典港味。古佘复原力强得夸张。林峯等不回归太可惜。TVB经典台词“人在做天在看”再也不纯，但淫到伤情。三星半
        ",4
" 为什么张家辉和古天乐这么基情四射！
        ",3
" 冒充blackJack的少爷竟然只是个黑客，串联整部电影的OSir死得未免简短了些。剧情太丰富的电视剧浓缩成一部电影，精彩刺激之余剧情显得略仓促。最遗憾莫过于经历过枪林弹雨的两男主与来路不明的小人物搏斗，竟然一死一伤，那么英姿飒爽的两男主竟然被伤得那么惨……so angry
        ",3
" 真的，好好编剧，认真讲故事，其他我真的不奢望
        ",2
" 重玩无间道的老梗，如果没看过无间道我会觉得这部电影还不错。后面剧情大反转，里面的男人都好帅，标准的港男(花痴脸 ）
        ",3
" 是我八月份看过的最好看的中国电影 古黑这个暑假的三部戏一部不落的看了 这部算是三部中最好的 梁家辉好帅 吴镇宇也好帅 剧情反转又翻转 最爱这种不套路的电影 没看过电视剧 所以对于第一次看的人 四星肯定要给的
        ",4
" 主演的演技没有什么可以挑剔的地方，差在剧情上了。没有电视剧的情节那么紧凑，好在电影版也不至于太差，不像冲上云霄~~
        ",3
" 没看过剧，电影还行，几个动作场面打得很真实。古天乐最近几年不太行啊，到结尾也不知道佘诗曼那个卧底是卧在什么地方。。
        ",3
" 张家辉真的是影帝级别的。朋友请看的，记忆深刻。
        ",4
" 太烂了
        ",1
" 喜欢张家辉，戏骨，戏痴，演技就是好，也喜欢佘诗曼，还是一如即往的漂亮，能不要和吴镇宇的感情戏份么，感觉不配大佘。
        ",4
" 剧情紧张紧凑 喜欢喜欢
        ",4
" 差了点
        ",3
" 我觉得挺好看的
        ",4
" 三分不能再多。
        ",2
" 连家辉哥的演技都挽救不了的无厘头故事
        ",2
" 剧本太一般。张家辉演技越来越棒了！张慧雯美！
        ",3
" 张家辉演技真是越发精湛！
        ",3
" 导演的拍摄手法太可恶了
        ",2
" 佘诗曼边下楼边哭那段和那位女保镖的老板快走鲜明对比。。。最后打斗很出人意料，很好很简洁我喜欢。
        ",3
" 兄弟情谊，如果你出卖我，我没想过。
        ",5
" 张家辉帅炸，古天乐越来越老了。
        ",3
" 乱七八糟，想表达的太多到最后什么都没表达明白。编导演所理解的港片精髓只拿了个皮毛的东西，又没本事好好讲故事，只好扯着丁点侠骨丁点柔情丁点义气，却偏偏忽略了观众心里看个一气呵成的好故事哪怕格局小一点都没关系的单纯意愿。
        ",2
" 这本MV拍的很好。
        ",3
" 剧情一般 影帝的演技加一星
        ",4
" 好于预期，前边有点口水。
        ",5
" 故作悬殊 玩大反转 但故事漏洞 情节支零破碎 演员的演出还好 
                
                ",2
" 剧情不行，人设不行，演技还行。都是套路。给四颗星是因为陪我看电影的那个人。
        ",4
" 好……迷……啊……
        ",2
" 以为是烂片，实际是爆米花电影，还是那种加了很多糖很多奶的那种，嘴上说着不要，身体却一点都不老实，只想说再来一桶
        ",4
" 这个结局略尴尬啊…
        ",3
" 给结尾扣一星！
                
                ",4
" 结尾比较悲。。。较电视剧版本弱了一点。。没有林峰辣么帅的猪脚。。剧情太紧凑了。。死光光的节奏。。。。太快。。。太快
        ",4
" 就是来给使徒刷分的。不能白瞎了我的钱😝为了张家辉为了欢喜哥，最后再为一下佘诗曼。
        ",5
" 三星是给TVB的原版。
        ",3
" 最近的港片真的都很违和。六分半。
        ",3
" 都是老牌实力派演员，演技真心不错。。没看过小说和电视剧，所以还是挺喜欢的！！挺喜欢这种类型的片子！！
        ",4
" 凑得太紧了。导致电影的张弛度有些失衡。这样一来，演员的表现几乎沦为装饰（虽然承认张家辉）。各种其实没死的戏码，让人有点厌倦，但的确就是一特色。另外，是不是这种戏演多了就真的很能扛刀扛枪啊？
        ",3
" 特效各种漏洞，结尾未免仓促了些。老板死了，缉毒立马就成功了？！估计去看的人都是冲着张家辉、古天乐的吧！某人整场电影心不在焉的。。
        ",2
" 和以往的港片套路基本一致  没有什么新意  港片再不创新如此吃老本真的好吗  (⊙﹏⊙)b   片子最大的问题在于电视剧导演  不会运用电影语言  镜头感较弱  故事也没有讲完整  片子宣传时噱头多多  看完便是失望多多  O__O ""…
        ",2
" 再反转也跳脱不了这几个人物关系，整部电影最需要的是如何停下来。
        ",2
" 不是我想像中的张家辉
        ",2
" 香港类型片再无突破，审美非常疲劳，不进就是退。
        ",2
" 只有钉姐和欢喜哥和电视剧有关，但两人戏份不多。台词很tvb，吃面都吃了几次。剧情有反转，但还是太弱。
        ",2
" 银幕上四散着古张吴佘四人脸上的皱纹。他们加起来快二百岁了却被可怖的装嫩癌病毒所感染。得病者强行高潮自我感觉良好，围观者鸡皮疙瘩散落一地痛不欲生。
        ",1
" 打脸电影，之前一直觉得应该是烂片无疑，算是超出预期了，张家辉怎么越来越帅了，人神共愤啊！三星半
        ",4
" 卧底、兄弟、情仇，香港警匪片最惯用的三大伎俩，既套路又精华。用多了俗，本片乃也；用好了赞，本片是也。些许疲劳，但至少不烂。最后祝里约奥运会能顺利举办……
        ",3
" 为什么每次港剧拍成电影都这么难看？
        ",1
" 卧底资料不是最高权限才能看的吗，对方一个贩毒集团的小靓两年前居然能黑入警察局电脑销毁文件窃取密码，重点是两年了你们警察局还不去调查是谁干的，到了另外一个案件才突然想起“雾草，我们被黑过”，硬是要为剧情推动搭桥，一组狙击精英不如一个IT男，隔壁寒战剧组通讯设备也被黑了呢。
                
                ",2
" 近几年TVB可以看的剧，电影比电视剧的冲突更集中爆发，几个影帝同时飚戏也是过瘾的很。很奇怪的是一个人在电影院看电影有点坐不住了。
        ",3
" 张家辉用演技帅到没朋友。
        ",4
" 可以算近年来港产警匪片的巅峰之作了，比寒战2专注装逼范的强。
                
                ",4
" 虽然没看过电视剧，但感觉还不错，兄弟情可以
        ",3
" 还是电视剧精彩~~花了半集在讲找卧底，最后时间不够莫名其妙把boss给秒杀了。。。亮点在于古天乐和张家辉溢出屏幕的基情~
        ",3
" 浪费了张家辉
        ",2
" 三星半吧 渣配音 各种反转剧情 爱张家辉 
        ",3
" 原来是一部bl片啊 但是还是帅的
        ",3
" 感觉也就一般般吧 剧情好多不合情理
        ",3
" 故事讲得不利索，看了后面的评论才知道这原来之前出过电视剧版。and香港这帮老影星真是帅啊
        ",3
" 浪费了吴镇宇和张家辉的演技。
        ",3
" 我觉得粤语版会更好一点吧
        ",3
" 我不管，5分全部给张家辉
                
                ",5
" 港片套路，但是好看..
        ",3
" 典型TVB的节奏，但是最后为毛就SHI了啊！！难道不是应该大团圆嘛T-T
        ",3
" 期待越高，落差越大！
        ",1
" 瑕不掩瑜，看得还是很爽的，配乐也很搭
        ",5
" 反正基本都死了…
        ",4
" 不要瞎煽情啊
        ",3
" 看开头就猜到他俩身份互换了，看着看着我又怀疑是不是猜错了，看到丁被爆头，就猜到她是假死，然后我又怀疑自己猜错了……最后……妈的……
        ",3
" 国语接受无能啊 古天乐嘴唇好苍白 张家辉好有魅力呀天呐迷妹 张慧雯挺美 佘诗曼还是。。。吴镇宇不错啊哈哈（为什么一直评论长相）哎前面觉得还不错 自从大反转惊喜之后剧情走向越来越奇怪 有些莫名其妙 结局我是拒绝的 bgm可以
        ",3
" CP感强的不忍直视😏
        ",3
" 中规中矩的摄影和完美的灯光最走心。
        ",3
" 如果不为了古天乐和张家辉，我一定不会给三分，剧情上感觉没啥亮点，没看过电视剧版的。最后被激情四射的结尾秀了一脸。
        ",3
" 8.21 with YC  还是挺好看的呀
        ",4
" 张家辉！白衣帅哭我！
        ",3
" 好 中间送了一会儿 后面没抓太紧了 结尾就没什么悬念了
        ",3
" 这个暑期档真的好让我失望………这次又栽了，这分很大程度上是给张家辉的，因为没看过港剧版，单从这部电影来说，动作没那么精彩，悬疑也一般，最重要的是为啥内地都没有粤语版的啊！！
        ",3
" 影片四步走第一段碟中谍4第二段速度与激情5 第三段使徒行者TV版 第四段 烂尾... 欢喜哥让人感到票价值回 TV版里亲情爱情最终斗不过正邪难两立的角色设定 电影版兄弟情谊比天高（无语）另外BGM...here we are 听的尴尬癌晚期只好回来循环越难越爱和行者化疗解毒...
        ",4
" 周末看的两部电影，说白了，没有古天乐我是压根不会考虑看的。
        ",3
" 其实拍得很认真，但剧情是硬伤。大boss一秒被KO，也是醉了。
                
                ",3
" 真的，《使徒行者》要配合粤语才食用最佳，那些戴着有色眼镜喷港片的，连吴镇宇两句明显是冷笑话的台词都要喷到编剧角度，大家都觉得自己是上帝，以为能跟的上剧情就是编剧的失败，使徒本来就是卧底电影，让你猜的人最多也就4个，以为猜对了就上天了？最后，张家辉真的很赞，浑身都是会演戏的肌肉。
        ",5
" 故事有点故意，卖弄反转和心跳，不过几个老戏骨撑得起角色，人物还算立得住，距离无间道还远，但张家辉太好看～各类综合是可以及格的
        ",3
" 从电视剧追到电影～～～
        ",3
" 三颗星全部给家辉哥。
        ",3
" 虽然bug很多，但是很精彩全程无尿点。
        ",4
" TVB排成电影哪一次成功的？
        ",3
" 虽然看过电视剧也没看懂，对港片也没什么情怀
        ",2
" 跟寒战比还差了一个量级
        ",2
" 烂片！
        ",2
" 国产电影的良心之作 还算不错
        ",4
" 五星给张家辉，负一给古天乐僵硬的脸，负一给剧情结局。
                
                ",3
" 今天和冬瓜一起看电影 感觉好开心 好幸福 转角遇到爱 么么哒
                
                ",5
" 电视剧没看过 觉得还不错
        ",4
" 我讨厌港片 什么结局啊
                
                ",2
" 不好看但是张家辉帅炸了！穿各种各样的西装为什么那么好看
        ",2
" 男友之前好像是看过电视剧版的 在旁边一直给我剧透 没什么感觉 就是觉得声儿大 
        ",3
" 整部电影都告诉你你看到的都是套路，你看得莫名其妙的都会用回放告诉你。晚看五分钟＋多条线让整个电影显得散乱。
        ",3
" 张家辉好帅!!!!!!!
        ",4
" 咋能都给演死了呢！看完之后连串串都不能愉快的吃了………………惆怅
        ",5
" 和电视剧一脉相承的新故事，剧情比较完整，也没有很明显的bug，也没有逻辑硬伤。
演员张家辉好帅，这个角色也好，古仔的角色稍微有点乱。
吴镇宇和佘诗曼许绍雄都不错。
电视剧留下来的两个人物，感觉就是电视剧里走出来的，剧粉不会失望。
本来四星，和同期烂片比，再加一星。
        ",5
" 在小鲜肉霸屏的时代，一群平均年龄超过四十岁的老腊肉撑起一部电影！特写镜头时岁月的痕迹清晰可见，然而依然好看！依然有号召力！剧情也不错！
        ",4
" 豆瓣分太低
                
                ",5
" 看的快对港片儿绝望了...张家辉戏是够的（但问题在于他每次都是够的）...其他人都在干啥......
        ",2
" 做兄弟 在心中 你feel唔到 我港乜都冇用
        ",3
" 喜欢TVB版，看了电影版真的有点失望，场面很大但剧情真的有点让人失望。吴镇宇让我跳戏，还是林峰回归比较好。
        ",3
" 精品，港片精华
                
                ",5
" 有越难越爱就更好了
        ",3
" 我真心觉得不错，张家辉超帅的，演技也爆表，就是主题曲……
        ",4
" 不会装逼就不要勉强。
        ",2
" 人在做，天在看
        ",3
" 三颗星，只因为张家辉
        ",3
" 佘诗曼那段挺假的。。。还有通篇莫尔斯码也是有点过。。。
        ",3
" 即便你知道这一切都是当年《无间道》玩剩下的套路，可是这几张老脸怎么就百看不厌呢？张家辉摔碎酒瓶，古天乐掀起桌布的那一幕真的是帅炸炸炸了！
        ",4
" 小雨姐作为古天乐的迷妹，再烂也要去看的。
        ",3
" 完全就不行啊~装过头了
        ",3
" 节奏很紧凑昂 但故事线有点乱 不如电视剧惊艳 感觉像是拍电影是来大陆圈钱的 “微信”“简体字”“公牛”之类的～anyway帅哥那么多我还是很心水的！特别是张家辉！！帅炸啊一古～让我暂时忘记卓sir和爆seed~但佘诗曼和吴镇宇感情戏好弱啊钉姐也变得好弱啊电视剧不是这样滴呀
        ",3
" 大写的GAY片，可我没搞清攻受。应该是整个片子太暗了，被张家辉turn on了辣么一秒。炒冷饭不是不可以，但不能挂羊头卖狗肉这样无耻。
        ",None
" 以为就像其他tvb剧一样，拍成电影就变烂，谁知比预期好很多，好喜欢张家辉www
        ",4
" 本来是四星的，结局抠一星，谁都不想当坏人，拍什么电影啊。一次次反转都是套路，最后观众的耐心都没了。套路这么深，哪来的兄弟情啊！
        ",3
" 五星全部给张家辉！！！！电梯里面那场戏和车祸那场戏燃得我都哭了
        ",5
" 我子弹穿腹而过却还能笑着忍受 兄弟情 在心中...
        ",3
