comment,rating
" 坏人两次都被飞船像拍苍蝇一样给拍了，第一个还直接给拍死了。亚裔gay couple还领一个孩子这个情节在国内上映时估计是要被和谐了。
        ",None
" 太素鸡了，真的，太素鸡了
        ",4
" 特别良心的一点是每一个角色都很饱满而且看得出角色的合理成长，anton小天使 ：（ sulu有点帅的
        ",4
" 论为什么“人类兴于奋斗废于和平”是不对的
        ",4
" 虽然挺好看，后半部也很《银河护卫队》，但以后请不要在叫“星际”什么的，《星际穿越》《星际大战》《星际迷航》傻傻分不清.....
        ",3
" 摇滚拯救全宇宙
        ",4
" 系列初探。大场面和宇宙设定特别科幻，打架啊救人啊反派面目啊特别手工特别速度与激情。
        ",3
" 【B-】节奏有点怪，过渡不是平滑的而是断裂的，感觉林导像是把不住剧本的样子。另外这片长得不像人类的角色基本都死了，这便当太好猜了囧
        ",4
" 摇滚乐拯救星球，全程情怀加糖，剧情老套了又怎样~
        ",4
" 有一点失望，前半部分的人物很跳跃，剪辑生硬，很多表达内心的情节都半吊子，反派也比较拧巴，好在后面的高潮挽回了面子，蜜粉群飞船和双重引力的太空城很加分，作为一部非JJ导演的ST，找到了一点老版的冒险感。
        ",4
" 作死小分队又一次把企业号搞废了…the fear of death is what keeps us alive
        ",4
" 第一场激战后听到坐左边的女生说了句“好无聊”然后就摘了眼镜全程要么靠座椅里要么歪她男友怀里刷她的大屏手机。间中还听到“这个好丑”和最后“这人死了？”…就想对她汉子说：找个了现充女友不是你的错，但带她出来破坏粉丝们的观影感受就是你的错了。IMAX有点晕。但仍挡不住我的心向大海星辰！！
        ",4
" 林诣彬粗旷奔放却黑漆漆慢悠悠，摇滚配乐中打败排山倒海而来蜜蜂敌舰，好儿戏。寇拉尔认定星际联邦是一颗毒瘤，却有自己理由的复杂反派，企业号被毁，途中滞留异星，遭遇了当地种族追杀，最漫长，顽强有韧劲的柯克，用幻影假摩托迷惑敌人，以及城市飞天遁地决战，使劲燃爆肾上腺素，但明显强弩之末
        ",3
" 這集就是節奏非常快的爆米花片。林詣彬兩個特點 1.相當不擅文戲 2.酷炫動作場面，都在這部ST再度出現。人物互動和角色塑造就像走過場一樣快轉，提一下立刻跳武戲。武戲雖炫(btw蜂群擊破戰拍得最棒)，但若無足夠的情感累積，很難真正打動人阿。然後必須要說，反派真是寫得太失敗了....
        ",3
" 致反派：出来混总是要还的，不是倒在苍蝇拍下，就是被吸进xx……这结局简直就是I KNEW IT，但不妨碍被宇宙夫夫牢牢圈粉，瘦瘦这是私心把刀锋女写成官配的节奏，老骨头也超可爱，史波克的照片还有片尾For Anton的字幕都好戳泪，反派越看越像查尔斯·巴克利……锁定今年最佳续集电影，刷IMAX提上日程！
        ",4
" 作为好莱坞A级大片的，内容高深不高深，风格黑暗不黑暗，反派存在感高不高都是次要的。【特效大饱眼福+节奏把控到位】才是首要的，这两点《星际迷航：超越星辰》都具备。
        ",5
" 啊啊啊啊啊啊啊啊啊啊啊一边笑一边哭看得太开心了！！！
        ",5
" There's something profoundly fascinating about going out into the new frontier and discovering new things
        ",4
" 拥有不死之身和毁天灭地的力量，却只想着杀一小撮人来复仇……一支天下无敌的大军瞬间死于摇滚乐广播……
        ",2
" 3.8/5，太空版的速度与激情，嗯，速度与基情，进取号被打成筛子，最后音乐拯救世界也是66666。反正每次到了生死存亡的关键时刻，看着周围的小姑娘叫的撕心裂肺花枝乱颤，我都想，怕什么，都是套路，反正柯克总也死不了。
        ",4
" 一个人看电影是件上瘾的事。幕布上孤独的一行In loving memory of Anton，然后灯光缓缓亮起，闭上眼睛都是和他们初遇的样子。
        ",4
" In loving memory of Leonard Nimoy. For Anton.
        ",5
" 抢来抢去的麦格芬，跟天启一样逻辑捉急的反派，继续第二集的宇宙观缺失，《星际迷航》就快跟《星球大战》傻傻分不清楚，高潮摇滚乐的使用又让人想到《银河护卫队》，各种不原创的尴尬。这样下去只能粉转路人了。
        ",3
