comment,rating
" 微微一笑很傻逼
        ",1
" 井柏然的古装丑到宝宝想哭，杨颖演技依然不行啊，还不如女配。
        ",1
" 大神创业失败不能忍！女贼抢亲被删不能忍！真水无香变成同学不能忍！打着尊重的旗号其实一直在欺骗人！井柏然演技装x，颜值辣眼，比演技僵硬的ab更可怕！
                
                ",1
" 你可以侮辱我的人格可以侮辱我的眼睛，还可以可以侮辱我的电影票钱，但是你不可以侮辱我的智商
        ",1
" 本片最大的问题就是根本不能称作一部电影，井柏然颜值演技双掉线，仿佛分分钟穿越回盗墓：退开，我要装X了。一如既往的犯着尴尬啊。
        ",2
" 男的太丑，女的演技太烂
        ",1
" 欢迎观看真人网页游戏：《微微一笑很倾城》——女主掉演技，男主掉颜值。原著党可以去看看，想看电影的还是省省就好。
        ",2
" 1、我和黄璐老师都觉得它好于80%国产青春片，保守点说70%是靠谱的；2、AB碰到了最适合她的角色，不是青春片里的傻白甜，她的机智和个性有点小妞电影的味道，对她这个角色的喜欢无关演技；3、现实和虚拟世界转换得当穿插有致且毫无违和感，并且画面很美。
        ",4
" 其实电影已经比原作要合理很多了，原作的玛丽苏之气要浓郁更多倍……虽然baby的演技实在是烂到爆，但可以给新做的下巴多打一分，再多打一分给井柏然的声音。
        ",4
" 看了一部分 结尾没看到，还是有笑点的，下次打算把结尾看掉
                
                ",3
" 前半部分很甜后半部分什么鬼。
        ",2
" baby撑起了整部电影的颜值，全程看脸/嘻嘻
        ",3
" 讲道理前面对游戏内容的展现还是有想法的，剧情的话按照原作来也是标准的网游文套路能看得下去，然而一言不合就放音乐放风景片的毛病在后半部分变本加厉也就算了，还直接脱缰成了大学生创业故事，到最后我已经开始玩手机了……看在前面还有点意思的份上，两星吧
        ",2
" 很棒的还原作。只是时间短导致很多镜头发挥仓促，总体让我原著粉挺开心的。
                
                ",4
" 这么玛丽苏，还有baby看～颜值满分！
        ",5
" 很甜的一部电影，结尾略仓促，没有收好
        ",3
" 意外的算是及格
        ",3
" 还我小说😂
        ",1
" 初中看过书还原度还行吧
        ",2
" 201608121700话说学霸大神是不是都是全才啊，好像什么都是手到擒来胜券在握一样，撩妹都撩的那么在行，哼哼，井柏然游戏里扮相有些浮夸吧，不过还是喜欢井柏然，唱歌也好听，哎呀呀，迷妹一枚啊。看到谭松韵又想起最好的我们了，感觉一样的感觉，萌萌的
        ",3
" 预告片看得我想快进
                
                ",None
" 意料之外，这么玛丽苏的故事我竟然觉得挺好看哈哈哈，打打游戏谈谈恋爱，简简单单的情感，全程是那种浪漫到底、甜蜜到家，游戏部分不错，结尾有些乱，整体倒是轻松愉快，这是让人意外的。青春片不矫情还是挺有意思，赵天宇不错，这剧本给别人拍估计玩蛋了，网瘾少女AB奉献了非常本色的演出，加一星鼓励
        ",4
" 我在大战神 等你来战（井柏然的颜值真的hold不住那一头白毛啊）
        ",1
" 凭良心讲前半部还可以的，有几段真的蛮甜的，近期难得的国产爱情片心动瞬间！但是微微和肖奈正式见面以后气氛就完全变了，拥抱和吻戏都尴尬得像性骚扰，而且井柏然360度里真是有270度是死角啊，baby就不能给他介绍家医院吗？
        ",2
" 真水无香成了曹光，甲醇绿茶妖妖成了妖艳的贱货，不能忍！
        ",1
" 浓浓的晋江文学城的酸爽味。送给怀春宅女的一颗大力丸。以上。
        ",1
" 微微一笑很倾城，笑你妈比吓死人。
        ",1
" 这么烂，浪费时间。low海报，low故事，low演员。这要是能大卖，就是中国电影的耻辱。
        ",1
" 本来我是完全没打算看这部电影的，但是跟朋友一起，就去了。抱着电影很渣的期待，谁知由于期待过于低了，反而觉得很惊喜。
没有很做作，没有很突兀，特效做的也觉得挺好玩。
完全出乎我的意料之外。至少值得一看。
        ",4
" 井柏然白毛黑眉毛真是无力吐槽……而且他那张脸实在驾驭不了那一团白毛……把做游戏想的太理想化，b装的太过了
        ",2
" 如果我知道有一天我会这么爱你，我一定对你一见钟情。
大家都说是烂片，对于我这个没看过原著的人来说其实还是挺不错的。
baby和郑爽在我看来还是baby演微微合适一点，baby气场更大！
        ",4
" 有那么点当初看书时候的小心动~
        ",3
" 特效感人，剧情感人，白头发的大神仿佛走错了片场，请移步隔壁去吧
        ",1
" 最喜欢的一部小说了，虽然电影改的没小说好看到也行吧，至少感觉男女主挺合适的
        ",4
" 如果不是陪小妹妹不会看，但是超出期望值的一部。剧情不复杂，cg效果居然比盗笔要好些～我果然对帅哥美女多些宽容。很玛丽苏很套路，但也就还好。
        ",3
" 哎 剧情凌乱 要不是重新看了小说 真不晓得在演什么 。。。期待电视剧吧，虽然也不能报太大希望
        ",3
" 玛丽苏神剧，井柏然造型真心吓屎我，丑到爆，还有，为什么玩游戏的在现实生活都能遇到，真有这么巧？我TM明天要下个玩玩。
        ",2
" 电影看完都是全程微笑着的，很甜，少女心爆棚，像是回到了初中里看微微一笑小说的感觉，十分幸福，一个人在电影院白痴笑……不管豆瓣评分多差，我都觉得看了很开心
        ",4
" 这也能拍电影… 我国电影业真是只有想不到没有做不到🌚
                
                ",None
" 剧情比较单薄噜 
        ",2
" 这么丑的大神谁会喜欢啊，简直是毁书不倦，微微还算可以看但是也没亮点
        ",1
" 不懂为什么分这么低，抛开井宝掉粉的颜和北鼻的渣演技，其它还是有挺多值得肯定的地方，虽然原著细节记不清了，但是总体还原度挺高的了，这就非常值得肯定了！对电视剧版已经没有期待了，电影版挺赞呀
        ",4
" 这个剧本拍成30集太长，拍成电影又太短，后半部分原创剧情崩了，不知所谓。
                
                ",2
" 还原度不错，看得很开心。偶尔会尴尬，但整体还可以，为了把评分向上拉一拉多给一颗星献给我网游的青春。

        ",4
" 原著党表示满意
        ",5
" 和一个女性朋友去看的，好久没有恋爱，温习一下标准的青春恋爱模式。。。很欢乐，由于剧情也更加喜欢井宝啦~
        ",3
" 看过《大鱼海棠》和《盗墓笔记》后，这部电影让我很惊喜！
        ",4
" 情节真的很生硬啊 没意思 但是挡不住井宝帅baby美啊 还是很美很甜的 
        ",2
" 一言难尽
        ",2
" 本片最大的亮点是 黄晓明竟然没有出现！
        ",3
" 没有想象中的好 但也还可以
        ",2
" 女主再次证明了她的美颜和无演技 男主皮肤不好行为拘谨穿着略土（看我无聊成啥样了看的都是些什么鬼）前排小孩玩得很开心让人觉得仿佛在看爸爸去哪儿
        ",1
" 略尴尬看的……
        ",2
" 虽然有点迷之尴尬但还是超过预期的嘛！
        ",3
" ab长得真好看，两星给ab的脸，一星给原著原话台词
        ",3
" 作为求粉来说，给两星算我客气了，人设都什么鬼！
        ",2
" 很温暖很少女 演员演的也挺自然 不尴尬
配乐很好听~❤
        ",5
" 哈哈还不错啊，看的很开心。井柏然意外适合肖奈，虽然古装败笔，但是现代装很苏。
        ",3
" 看过这本书，感觉还原度还挺好的，很甜，不狗血。
                
                ",4
" 最近看了好多爱情电影哦，要死了
        ",4
" 比想象中好看
        ",5
" 三分是为我曾经看过的青春小说打的
        ",2
" 跟预期想的差不多，还有一两处惊喜，值得肯定。比电影版《何以笙箫默》好多了，看过何以我的观影底线变得貌似很低了。
        ",4
" 电脑里一起打游戏也真人？毁了我男神跟原著，想象力破没。如果可以半颗星 👿
        ",1
" 俩人演技都有进步😁看完想玩游戏
        ",3
" 一般吧！挺符合原著的。只是有点平淡
        ",3
" 好看，电梯一吻十分苏。我井宝的魅力绝对无敌
        ",5
" 有点傻，青春片大概就是这样吧！
        ",3
" 原著粉很愤怒。。。拍的这是啥！！
        ",1
" 反正就是吐槽剧 适合姐妹淘 井真心不如杨洋 baby衣服不错 可是开始老了
        ",2
" 你国烂片到底底线在哪里
        ",1
" 不错。算是忠于原著的，难得对喜欢的小说改编成影视满意的。AB的演难得get到了一次。井柏然现实装挺帅的。游戏里搞笑，现实里虐狗。觉得假期里图乐呵的朋友可以一看。
        ",4
" 哈哈哈哈哈哈哈哈哈哈哈哈全场全程爆笑，一部优秀的喜剧
        ",2
" 这么低不科学 明明很好看
        ",5
" 看过以后发现真的很喜欢😍有一种心动的感觉，baby美cry～小井的发型不是很喜欢，不过很苏啊～～王思聪真是神助攻～不过心疼教主一秒钟……小井真是85小生领头羊一般的存在！！有些既没演技又没颜值的只有一些脑残粉的小鲜肉真是无地自容了吧😊剧版我也看看～
        ",4
" 微微很微微
        ",3
" 原著粉还是别看了
        ",3
" 男主不符合脑中形象
        ",4
" 居然大大超出预期，一部苏到骨头里面的约会电影，从头到尾都这么甜，甚至连AB都找到了当年的灵气。其实影片的故事很老套，就连基本的起承转合都没有，但是演员的火花，各种游戏世界的展示还有精准的定位组成了暑期档最有卖相的商业片，这一次AB真是正爆了！结尾王思聪的客串真是年度爆点！
        ",4
" 不打分，是我最后的温柔。
        ",None
" 看了首映。只能说是恐怖。😱
        ",1
" 不好看
        ",1
