comment,rating
" 有失望的地方但更有惊喜。故事结构基本一样的情况下，看得出编剧更用心花在人物刻画上，然而也拖慢了节奏。吓点更加密集但印象深刻的比第一部少很多，某怪物略败笔。开头镜头设计过于花哨，倒不如后半段简洁有力来得刺激。但能看出洗剪吹对恐怖片的热爱与才华，不止于拍一部吓人的电影，但依然能吓破胆
                
                ",5
" 感觉这个鬼有强烈的自我否定的倾向，听见自己名字都想死。
        ",4
" 后来补拍的老修女的部分，是真实事件之外的，也让这个故事变得更加精彩，结构上和温子仁之前几部叙事紧凑的恐怖片还不太一样，但类型化在技巧上和手法上还和以往保持着高度的一致性，摄影也更加的精彩。剧作不那么紧绷之后，片子给人一种把电影当剧集拍的错觉，感觉之后可以拍一个电影宇宙了。
        ",4
" 该开灯时就开！谁说白天不能有鬼？高潮不一定非得安排在片尾！该吓人时就狠狠的吓…这是《招魂》系列最让人钦佩的地方，也正如此，温子仁让恐怖片变得不再拖泥带水和沉闷，一气呵成，惊叫连连。故事新意不多，恐吓元素却更升一级，床和被子不再是儿时最具安全感的场所。
        ",4
" 建议导演多少要了解点黑魔法防御术，或者找一个懂黑魔法的顾问，这样才不至于驱魔的手段过于简单，除了十字架和圣经，似乎别无他法。驱魔是个技术活，光靠胆量可不成。本片氛围尚好，只是手段单一，最后靠直呼其名，斥走恶灵，实在不够酷炫。
        ",3
" 惊吓度和创意都逊于第一部，但还是挺好看，尤其难得与第一部有相当高的一致性。另外对我来说看温哥的镜头运动成了一种享受。
        ",4
" 看完也是开心，想去曼森的演唱会
        ",4
" 恐怖片中的视听盛宴
        ",4
" 让人意外的是变相怪杰加盟此片并扮演重要角色。
        ",3
" 保留传统风格的前提下推陈出新。气氛与情节都是原汁原味的驱魔故事，但几乎全部惊吓都做到了攻观众不备。人物的情感恰到好处的塑造让角色摆脱脸谱化，镜头别出心裁的调度也是用心设计的体现。个人评分7.9
        ",4
" 整体的节奏和氛围营造都不错，即使知道情节走向，还是能保持高紧张度。不过主要惊恐元素还主要靠一惊一乍，事后心理并不恐怖，没有后遗症。
        ",3
